Circuit,Speedup,Std_Conf,GNN_Conf,Time_Speedup
c880.bench,1.0,4,4,0.07621745403523635
c880.bench,1.0,520,520,0.2751211987659762
c880.bench,1.7555555555555555,395,225,0.2573190497897989
c880.bench,1.0,589,589,0.31373830178627077
c880.bench,1.0,37,37,0.10363066475120805
c880.bench,1.0,798,798,0.3612356619175223
c880.bench,1.0,189,189,0.1606253430645063
c880.bench,0.0,0,0,0.09431014853451243
c880.bench,1.0,63,63,0.12443648646932581
c880.bench,1.0,366,366,0.252081780773094
c880.bench,1.0,658,658,0.3683601809787285
c880.bench,1.0,522,522,0.35200211584236973
c880.bench,1.0,435,435,0.3125590179414542
c880.bench,1.0,1128,1128,0.47393025419848456
c880.bench,1.0,364,364,0.29641416916330615
c880.bench,1.0044378698224852,679,676,0.42508655964746617
c880.bench,1.0,108,108,0.16276614032071904
c880.bench,1.0,45,45,0.12877020028701566
c880.bench,1.0,283,283,0.248061081412672
c880.bench,1.0,187,187,0.20415028901734103
c1908.bench,1.0,510,510,0.4340429895042971
c1908.bench,1.0,197,197,0.23116137811347545
c1908.bench,1.0,281,281,0.24877109366068995
c1908.bench,1.0,4217,4217,0.9005731664522166
c1908.bench,1.0,527,527,0.43114794481981983
c1908.bench,1.0,557,557,0.5783884418536545
c1908.bench,1.0,153,153,0.2211606164919418
c1908.bench,1.0,239,239,0.3309971186685801
c1908.bench,1.0,308,308,0.299352370453827
c1908.bench,1.0,190,190,0.2869107537748782
c1908.bench,1.0,303,303,0.3722615617522098
c1908.bench,1.0,453,453,0.4651452726723743
c1908.bench,1.0,971,971,0.4897400062797441
c1908.bench,1.0,660,660,0.4899971715349392
c1908.bench,1.0,494,494,0.45116871661684715
c1908.bench,1.0,2551,2551,0.7211976400802014
c1908.bench,1.0,2902,2902,0.694407929652098
c1908.bench,1.0,189,189,0.27637418200964453
c1908.bench,1.0,498,498,0.39242145022007646
c1908.bench,1.0,189,189,0.2574697024759437
c7552.bench,1.1823423423423423,3281,2775,0.8479137395325684
c7552.bench,1.0,508,508,0.2996517089591502
c7552.bench,1.3247863247863247,155,117,0.2428401878321895
c7552.bench,1.0,1002,1002,0.5493147915627278
c7552.bench,1.0,982,982,0.5833995155742593
c7552.bench,0.25804066543438076,698,2705,0.17013069482126006
c7552.bench,1.0,3272,3272,0.7870348167392954
c7552.bench,1.0,893,893,0.5099798946670097
c7552.bench,1.0,2345,2345,0.6571656879855373
c7552.bench,1.3432231962238705,1992,1483,0.6545768286150584
c7552.bench,2.4575971731448765,2782,1132,1.159642074908923
c7552.bench,1.0,784,784,0.5461630130662923
c7552.bench,0.5722846441947566,764,1335,0.4222084580417578
c7552.bench,0.032341831916902736,274,8472,0.09864418553781883
c7552.bench,1.0,183,183,0.3217284211066479
c7552.bench,1.0,242,242,0.2787003591492829
c7552.bench,1.0,416,416,0.42183620298470936
c7552.bench,1.0,1228,1228,0.503417795190088
c7552.bench,1.0,352,352,0.40620671341319
c7552.bench,1.0,1335,1335,0.9052380192484414
c1355.bench,1.0,296,296,0.21080828349340555
c1355.bench,1.0,128,128,0.1486447099970854
c1355.bench,1.0,65,65,0.1119350479657818
c1355.bench,1.0,213,213,0.18306344571276878
c1355.bench,1.0,349,349,0.2096425482848083
c1355.bench,1.0,295,295,0.24666052286947665
c1355.bench,1.0,247,247,0.20211222775325338
c1355.bench,1.0,132,132,0.16241389670943548
c1355.bench,1.0,147,147,0.18853235705825347
c1355.bench,1.0,74,74,0.1466582054710695
c1355.bench,1.0,186,186,0.1708123151852496
c1355.bench,0.2186046511627907,47,215,0.12461582012293757
c1355.bench,1.0,128,128,0.1795581259881834
c1355.bench,1.0,125,125,0.16882381491668014
c1355.bench,1.0,590,590,0.35935894461201895
c1355.bench,1.0,487,487,0.33458024310683393
c1355.bench,1.0,197,197,0.21958850405868158
c1355.bench,1.0,439,439,0.2825956502764038
c1355.bench,1.0,1,1,0.14439778263060643
c1355.bench,1.0,177,177,0.2900290975765306
